Series Description,AUSTRALIA,EURO,NEW ZEALAND,UNITED KINGDOM,BRAZIL ,CANADA,CHINA,"DENMARK -- SPOT EXCHANGE RATE, KRONER/US$ ","HONG KONG -- SPOT EXCHANGE RATE, HK$/US$ ",INDIA,JAPAN,"MALAYSIA -- SPOT EXCHANGE RATE, RINGGIT/US$ ","MEXICO -- SPOT EXCHANGE RATE, PESOS/US$ ","NORWAY -- SPOT EXCHANGE RATE, KRONER/US$ ","SOUTH AFRICA -- SPOT EXCHANGE RATE, RAND/$US","SINGAPORE -- SPOT EXCHANGE RATE, SINGAPORE $/US$ ","KOREA -- SPOT EXCHANGE RATE, WON/US$ ","SRI LANKA -- SPOT EXCHANGE RATE, RUPEES/US$ ","SWEDEN -- SPOT EXCHANGE RATE, KRONOR/US$ ","SWITZERLAND -- SPOT EXCHANGE RATE, FRANCS/US$ ","TAIWAN -- SPOT EXCHANGE RATE, NT$/US$ ","THAILAND -- SPOT EXCHANGE RATE, BAHT/US$ ",Venezuela Bolivar
Unit:,Currency:_Per_AUD,Currency:_Per_EUR,Currency:_Per_NZD,Currency:_Per_GBP,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD
Multiplier:,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Currency:,USD,USD,USD,USD,BRL,CAD,CNY,DKK,HKD,INR,JPY,MYR,MXN,NOK,ZAR,SGD,KRW,LKR,SEK,CHF,TWD,THB,VEB
Unique Identifier: ,H10/H10/RXI$US_N.B.AL,H10/H10/RXI$US_N.B.EU,H10/H10/RXI$US_N.B.NZ,H10/H10/RXI$US_N.B.UK,H10/H10/RXI_N.B.BZ,H10/H10/RXI_N.B.CA,H10/H10/RXI_N.B.CH,H10/H10/RXI_N.B.DN,H10/H10/RXI_N.B.HK,H10/H10/RXI_N.B.IN,H10/H10/RXI_N.B.JA,H10/H10/RXI_N.B.MA,H10/H10/RXI_N.B.MX,H10/H10/RXI_N.B.NO,H10/H10/RXI_N.B.SF,H10/H10/RXI_N.B.SI,H10/H10/RXI_N.B.KO,H10/H10/RXI_N.B.SL,H10/H10/RXI_N.B.SD,H10/H10/RXI_N.B.SZ,H10/H10/RXI_N.B.TA,H10/H10/RXI_N.B.TH,H10/H10/RXI_N.B.VES
Time Period,RXI$US_N.B.AL,RXI$US_N.B.EU,RXI$US_N.B.NZ,RXI$US_N.B.UK,RXI_N.B.BZ,RXI_N.B.CA,RXI_N.B.CH,RXI_N.B.DN,RXI_N.B.HK,RXI_N.B.IN,RXI_N.B.JA,RXI_N.B.MA,RXI_N.B.MX,RXI_N.B.NO,RXI_N.B.SF,RXI_N.B.SI,RXI_N.B.KO,RXI_N.B.SL,RXI_N.B.SD,RXI_N.B.SZ,RXI_N.B.TA,RXI_N.B.TH,RXI_N.B.VES
1/1/2019,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1/2/2019,0.7,1.1357,0.6668,1.2598,3.8123,1.3591,6.8597,6.5748,7.835,70.02,109.22,4.135,19.6065,8.6976,14.41,1.3652,1119.11,182.8,8.9931,0.9884,30.78,32.26,636.5846
1/3/2019,0.7014,1.1399,0.6687,1.2633,3.7429,1.3484,6.8708,6.5505,7.8308,70.12,108.07,4.141,19.6095,8.694,14.3125,1.3637,1124.64,182.65,9.0004,0.9889,30.86,32.19,636.5846
1/4/2019,0.7108,1.141,0.6743,1.274,3.7149,1.3399,6.8663,6.5448,7.8339,69.63,108.29,4.134,19.44,8.6109,13.9625,1.3594,1116.73,182.5,8.9488,0.9859,30.8,32,636.5846
1/7/2019,0.7143,1.1468,0.6762,1.2757,3.71,1.3297,6.8501,6.5116,7.8348,69.78,108.62,4.113,19.314,8.5387,13.8775,1.3558,1117.5,182.1,8.9013,0.981,30.8,31.96,636.5846
1/8/2019,0.7134,1.1444,0.6723,1.2724,3.7204,1.3307,6.8519,6.5244,7.838,70.11,108.57,4.116,19.355,8.5505,13.94,1.3579,1122.93,182.5,8.9281,0.981,30.84,32.04,702.8086
1/9/2019,0.7172,1.1524,0.6794,1.2764,3.6832,1.3212,6.8117,6.4788,7.8369,70.42,108.38,4.113,19.231,8.4745,13.8825,1.3538,1117.7,182.3,8.8836,0.9767,30.77,31.97,702.8086
1/10/2019,0.719,1.1517,0.679,1.2768,3.6915,1.3232,6.7875,6.4814,7.8378,70.43,108.29,4.095,19.16,8.4702,13.85,1.3516,1116.1,181.9,8.8829,0.9817,30.79,31.91,793.4714
1/11/2019,0.7204,1.1479,0.6826,1.2836,3.7073,1.3256,6.7596,6.5022,7.8393,70.38,108.34,4.094,19.12,8.5245,13.8425,1.3524,1117.18,181.8,8.9305,0.9829,30.79,31.93,793.4714
1/14/2019,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1/15/2019,0.7192,1.1392,0.6812,1.2761,3.7162,1.3272,6.7595,6.5511,7.8425,71,108.72,4.103,19.0555,8.5545,13.7825,1.3564,1122.59,182.1,8.9763,0.9885,30.82,31.9,947.0963
1/16/2019,0.7184,1.1408,0.6787,1.2862,3.7284,1.3243,6.7532,6.543,7.8431,70.97,108.84,4.108,18.97,8.5305,13.6825,1.3541,1119.1,182.2,8.9846,0.9899,30.82,31.68,947.0963
1/17/2019,0.7171,1.1386,0.6747,1.294,3.7561,1.3296,6.7735,6.5565,7.8432,71.09,109.01,4.112,19.0535,8.5554,13.77,1.3564,1123.34,181.4,9.027,0.9944,30.86,31.74,999.2357
1/18/2019,0.7172,1.1362,0.6751,1.2898,3.7658,1.3262,6.7765,6.5696,7.8432,71.21,109.79,4.11,19.113,8.5509,13.8275,1.3582,1122.8,181.4,9.0187,0.9954,30.86,31.74,999.2357
1/21/2019,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1/22/2019,0.7133,1.1359,0.6729,1.2955,3.7811,1.3333,6.8072,6.5725,7.8454,71.23,109.34,4.13,19.1375,8.5961,13.935,1.3595,1129.52,182.05,9.0263,0.9972,30.89,31.78,1321.5877
1/23/2019,0.7133,1.139,0.6789,1.3074,3.7987,1.3362,6.7897,6.555,7.8454,71.21,109.44,4.135,19.087,8.5848,13.845,1.3593,1127.89,182,9.0118,0.9946,30.86,31.72,1321.5878
1/24/2019,0.7096,1.1322,0.6768,1.3027,3.7486,1.3342,6.7835,6.5937,7.8454,71.02,109.72,4.141,18.986,8.5756,13.705,1.3604,1126.33,181.5,9.0729,0.9965,30.87,31.68,1568.6187
1/25/2019,0.7172,1.1407,0.6839,1.3176,3.77,1.3259,6.7448,6.5449,7.8452,70.94,109.6,4.1225,18.9275,8.5193,13.615,1.3535,1117.58,181.5,9.0518,0.993,30.71,31.52,1568.6186
1/28/2019,0.7166,1.1438,0.6834,1.3158,3.7628,1.3269,6.7437,6.5265,7.8459,71.06,109.2,4.108,19.0405,8.5147,13.705,1.353,1118.7,181.45,9.0527,0.991,30.78,31.51,2079.179
1/29/2019,0.7149,1.1424,0.683,1.3146,3.7288,1.3264,6.7304,6.5339,7.8461,71.4,109.36,4.11,18.985,8.5008,13.5875,1.3523,1117.75,180.6,9.0726,0.995,30.8,31.47,3290.8723
1/30/2019,0.7196,1.1418,0.6837,1.3062,3.7222,1.3189,6.7115,6.5378,7.8445,71.24,109.57,4.105,19.1635,8.4725,13.58,1.3514,1117.29,179.15,9.0908,0.9988,30.77,31.33,3290.8722
1/31/2019,0.7282,1.1454,0.6923,1.3135,3.6501,1.314,6.6958,6.5183,7.8463,70.94,108.84,4.094,19.0525,8.4359,13.285,1.3455,1111.82,178.15,9.0465,0.9938,30.69,31.22,3290.8722
2/1/2019,0.726,1.1474,0.6907,1.3094,3.6552,1.3095,6.7426,6.5068,7.8468,71.41,109.55,4.094,19.1275,8.4316,13.3125,1.35,1118.31,176.4,9.0384,0.994,30.78,31.28,3290.8722
2/4/2019,0.7218,1.1438,0.6882,1.3068,3.6676,1.3127,6.7426,6.5262,7.8465,71.66,109.96,4.09,19.0405,8.47,13.3975,1.3527,1119.15,176.4,9.0968,0.9974,30.77,31.3,3289.9546
2/5/2019,0.7234,1.1406,0.6891,1.2947,3.6798,1.3132,6.7426,6.5451,7.846,71.52,109.99,4.09,19.083,8.4813,13.39,1.3521,1117.2,178,9.1098,1.0005,30.77,31.24,3288.977
