Country,Date,total_cases,total_deaths,Gold Price per tr oz,Silver Price per tr oz,Exchange to USD,BIT_price,ETH_price,Stock_Price,Stock Index,ad_Gold_Price,ad_Silver_Price
Brazil,2019-01-01,0.0,0.0,4978.21,60.11,3.8123,3715.5644411293,137.7276455527,91012.0,BOVESPA,1305.8285024788186,15.76738451853212
United States,2019-01-01,0.0,0.0,1279.0,15.491,1.0,3715.5644411293,137.7276455527,6665.939941,NASDAQ,1279.0,15.491
Germany,2019-01-01,0.0,0.0,1118.8,13.51,1.1357,3715.5644411293,137.7276455527,10580.19043,DAX,985.1193096768513,11.89574711631593
France,2019-01-01,0.0,0.0,1118.8,13.51,1.1357,3715.5644411293,137.7276455527,4689.3901369999985,CAC 40,985.1193096768513,11.89574711631593
Canada,2019-01-01,0.0,0.0,1746.9,21.13,1.3591,3715.5644411293,137.7276455527,14347.200195,S&P/TSX,1285.3358840409096,15.547053196968582
Italy,2019-01-01,0.0,0.0,1118.8,13.51,1.1357,3715.5644411293,137.7276455527,18331.0,FTSE MIB,985.1193096768513,11.89574711631593
Japan,2019-01-01,0.0,0.0,140325.5,1695.09,109.22,3715.5644411293,137.7276455527,19561.960938,Nikkei,1284.7967405237137,15.519959714338032
China,2019-01-01,0.0,0.0,8781.2,106.56,6.8597,3715.5644411293,137.7276455527,2465.291016,SSE,1280.114290712422,15.534207035293088
India,2019-01-01,0.0,0.0,89293.4,1078.07,70.02,3715.5644411293,137.7276455527,10792.5,NSE,1275.2556412453584,15.3966009711511
United Kingdom,2019-01-01,0.0,0.0,1004.2,12.1483,1.2598,3715.5644411293,137.7276455527,6734.23,FTSE 100,797.1106524845213,9.643038577551993
Brazil,2019-01-02,0.0,0.0,4992.38,58.8,3.8123,3882.3047543479997,153.965635792,91012.0,BOVESPA,1309.545418776067,15.423759934947407
United States,2019-01-02,0.0,0.0,1282.9,15.517,1.0,3882.3047543479997,153.965635792,6665.939941,NASDAQ,1282.9,15.517
Germany,2019-01-02,0.0,0.0,1129.9,13.69,1.1357,3882.3047543479997,153.965635792,10580.19043,DAX,994.8930175222331,12.054239675970766
France,2019-01-02,0.0,0.0,1129.9,13.69,1.1357,3882.3047543479997,153.965635792,4689.3901369999985,CAC 40,994.8930175222331,12.054239675970766
Canada,2019-01-02,0.0,0.0,1745.5,21.09,1.3591,3882.3047543479997,153.965635792,14347.200195,S&P/TSX,1284.3057905967185,15.517621955705982
Italy,2019-01-02,0.0,0.0,1129.9,13.69,1.1357,3882.3047543479997,153.965635792,18331.0,FTSE MIB,994.8930175222331,12.054239675970766
Japan,2019-01-02,0.0,0.0,140214.5,1686.96,109.22,3882.3047543479997,153.965635792,19561.960938,Nikkei,1283.7804431422817,15.44552279802234
China,2019-01-02,0.0,0.0,8790.2,106.48,6.8597,3882.3047543479997,153.965635792,2465.291016,SSE,1281.426301441754,15.522544717699025
India,2019-01-02,0.0,0.0,89960.2,1084.03,70.02,3882.3047543479997,153.965635792,10792.5,NSE,1284.7786346758069,15.481719508711796
United Kingdom,2019-01-02,0.0,0.0,1018.0,12.3161,1.2598,3882.3047543479997,153.965635792,6734.23,FTSE 100,808.0647721860613,9.776234322908397
Brazil,2019-01-03,0.0,0.0,4889.52,59.11,3.7429,3795.5927412969,148.7968732927,91564.0,BOVESPA,1306.3453471906812,15.79256726068022
United States,2019-01-03,0.0,0.0,1290.5,15.736,1.0,3795.5927412969,148.7968732927,6463.5,NASDAQ,1290.5,15.736
Germany,2019-01-03,0.0,0.0,1132.8,13.81,1.1399,3795.5927412969,148.7968732927,10416.660156,DAX,993.771383454689,12.115097815597862
France,2019-01-03,0.0,0.0,1132.8,13.81,1.1399,3795.5927412969,148.7968732927,4611.490234000001,CAC 40,993.771383454689,12.115097815597862
Canada,2019-01-03,0.0,0.0,1743.8,21.23,1.3484,3795.5927412969,148.7968732927,14212.799805,S&P/TSX,1293.236428359537,15.74458617620884
Italy,2019-01-03,0.0,0.0,1132.8,13.81,1.1399,3795.5927412969,148.7968732927,18218.0,FTSE MIB,993.771383454689,12.115097815597862
Japan,2019-01-03,0.0,0.0,138807.2,1691.28,108.07,3795.5927412969,148.7968732927,19561.960938,Nikkei,1284.419357823633,15.649856574442492
China,2019-01-03,0.0,0.0,8868.0,108.14,6.8708,3795.5927412969,148.7968732927,2464.363037,SSE,1290.6793968679046,15.739069686208301
India,2019-01-03,0.0,0.0,90454.1,1101.17,70.12,3795.5927412969,148.7968732927,10672.25,NSE,1289.9900171135196,15.70407872219053
United Kingdom,2019-01-03,0.0,0.0,1024.1,12.4614,1.2633,3795.5927412969,148.7968732927,6692.66,FTSE 100,810.6546346869309,9.86416528140584
Brazil,2019-01-04,0.0,0.0,4866.83,58.32,3.7149,3812.3811076791,152.8736310456,91841.0,BOVESPA,1310.0837169237395,15.698942098037632
United States,2019-01-04,0.0,0.0,1279.9,15.694,1.0,3812.3811076791,152.8736310456,6738.859863,NASDAQ,1279.9,15.694
Germany,2019-01-04,0.0,0.0,1121.8,13.77,1.141,3812.3811076791,152.8736310456,10767.69043,DAX,983.1726555652936,12.068361086765995
France,2019-01-04,0.0,0.0,1121.8,13.77,1.141,3812.3811076791,152.8736310456,4737.120117,CAC 40,983.1726555652936,12.068361086765995
Canada,2019-01-04,0.0,0.0,1713.9,20.99,1.3399,3812.3811076791,152.8736310456,14426.599609,S&P/TSX,1279.1253078587954,15.665348160310469
Italy,2019-01-04,0.0,0.0,1121.8,13.77,1.141,3812.3811076791,152.8736310456,18832.0,FTSE MIB,983.1726555652936,12.068361086765995
Japan,2019-01-04,0.0,0.0,138395.6,1700.57,108.29,3812.3811076791,152.8736310456,19561.960938,Nikkei,1278.0090497737556,15.70385077107766
China,2019-01-04,0.0,0.0,8785.5,107.84,6.8663,3812.3811076791,152.8736310456,2514.86792,SSE,1279.5100709261174,15.705693022442947
India,2019-01-04,0.0,0.0,89263.4,1089.32,69.63,3812.3811076791,152.8736310456,10727.349609,NSE,1281.9675427258367,15.644406146775815
United Kingdom,2019-01-04,0.0,0.0,1006.2,12.3303,1.274,3812.3811076791,152.8736310456,6837.42,FTSE 100,789.795918367347,9.678414442700156
Brazil,2019-01-05,0.0,0.0,4774.12,58.32,3.7149,3809.9143429619,155.095360577,91841.0,BOVESPA,1285.127459689359,15.698942098037632
United States,2019-01-05,0.0,0.0,1279.9,15.694,1.0,3809.9143429619,155.095360577,6738.859863,NASDAQ,1279.9,15.694
Germany,2019-01-05,0.0,0.0,1121.8,13.77,1.141,3809.9143429619,155.095360577,10767.69043,DAX,983.1726555652936,12.068361086765995
France,2019-01-05,0.0,0.0,1121.8,13.77,1.141,3809.9143429619,155.095360577,4737.120117,CAC 40,983.1726555652936,12.068361086765995
Canada,2019-01-05,0.0,0.0,1713.9,20.99,1.3399,3809.9143429619,155.095360577,14426.599609,S&P/TSX,1279.1253078587954,15.665348160310469
Italy,2019-01-05,0.0,0.0,1121.8,13.77,1.141,3809.9143429619,155.095360577,18832.0,FTSE MIB,983.1726555652936,12.068361086765995
Japan,2019-01-05,0.0,0.0,138395.6,1700.57,108.29,3809.9143429619,155.095360577,19561.960938,Nikkei,1278.0090497737556,15.70385077107766
China,2019-01-05,0.0,0.0,8785.5,107.84,6.8663,3809.9143429619,155.095360577,2514.86792,SSE,1279.5100709261174,15.705693022442947
India,2019-01-05,0.0,0.0,89263.4,1089.32,69.63,3809.9143429619,155.095360577,10727.349609,NSE,1281.9675427258367,15.644406146775815
United Kingdom,2019-01-05,0.0,0.0,1006.2,12.3303,1.274,3809.9143429619,155.095360577,6837.42,FTSE 100,789.795918367347,9.678414442700156
Brazil,2019-01-06,0.0,0.0,4774.12,58.32,3.7149,4014.1331870739,154.5808229532,91841.0,BOVESPA,1285.127459689359,15.698942098037632
United States,2019-01-06,0.0,0.0,1279.9,15.694,1.0,4014.1331870739,154.5808229532,6738.859863,NASDAQ,1279.9,15.694
Germany,2019-01-06,0.0,0.0,1121.8,13.77,1.141,4014.1331870739,154.5808229532,10767.69043,DAX,983.1726555652936,12.068361086765995
France,2019-01-06,0.0,0.0,1121.8,13.77,1.141,4014.1331870739,154.5808229532,4737.120117,CAC 40,983.1726555652936,12.068361086765995
Canada,2019-01-06,0.0,0.0,1713.9,20.99,1.3399,4014.1331870739,154.5808229532,14426.599609,S&P/TSX,1279.1253078587954,15.665348160310469
Italy,2019-01-06,0.0,0.0,1121.8,13.77,1.141,4014.1331870739,154.5808229532,18832.0,FTSE MIB,983.1726555652936,12.068361086765995
Japan,2019-01-06,0.0,0.0,138395.6,1700.57,108.29,4014.1331870739,154.5808229532,19561.960938,Nikkei,1278.0090497737556,15.70385077107766
China,2019-01-06,0.0,0.0,8785.5,107.84,6.8663,4014.1331870739,154.5808229532,2514.86792,SSE,1279.5100709261174,15.705693022442947
India,2019-01-06,0.0,0.0,89263.4,1089.32,69.63,4014.1331870739,154.5808229532,10727.349609,NSE,1281.9675427258367,15.644406146775815
United Kingdom,2019-01-06,0.0,0.0,1006.2,12.3303,1.274,4014.1331870739,154.5808229532,6837.42,FTSE 100,789.795918367347,9.678414442700156
Brazil,2019-01-07,0.0,0.0,4797.5,58.43,3.71,3989.6317409326,149.6001646386,91699.0,BOVESPA,1293.1266846361186,15.74932614555256
United States,2019-01-07,0.0,0.0,1292.2,15.646,1.0,3989.6317409326,149.6001646386,6823.470215,NASDAQ,1292.2,15.646
Germany,2019-01-07,0.0,0.0,1127.4,13.64,1.1468,3989.6317409326,149.6001646386,10747.80957,DAX,983.083362399721,11.893965817928148
