,Country,Date,Gold Price per tr oz
0,Canada,2019-01-01,1746.9
1,Canada,2019-01-02,1745.5
2,Canada,2019-01-03,1743.8
3,Canada,2019-01-04,1713.9
4,Canada,2019-01-05,1713.9
5,Canada,2019-01-06,1713.9
6,Canada,2019-01-07,1720.4
7,Canada,2019-01-08,1709.4
8,Canada,2019-01-09,1706.2
9,Canada,2019-01-10,1709.2
10,Canada,2019-01-11,1708.6
11,Canada,2019-01-12,1708.6
12,Canada,2019-01-13,1708.6
13,Canada,2019-01-14,1714.8
14,Canada,2019-01-15,1714.3
15,Canada,2019-01-16,1712.2
16,Canada,2019-01-17,1715.7
17,Canada,2019-01-18,1701.5
18,Canada,2019-01-19,1701.5
19,Canada,2019-01-20,1701.5
20,Canada,2019-01-21,1700.2
21,Canada,2019-01-22,1709.9
22,Canada,2019-01-23,1709.3
23,Canada,2019-01-24,1712.4
24,Canada,2019-01-25,1715.6
25,Canada,2019-01-26,1715.6
26,Canada,2019-01-27,1715.6
27,Canada,2019-01-28,1726.3
28,Canada,2019-01-29,1735.6
29,Canada,2019-01-30,1730.3
30,Canada,2019-01-31,1737.8
31,Canada,2019-02-01,1727.5
32,Canada,2019-02-02,1727.5
33,Canada,2019-02-03,1727.5
34,Canada,2019-02-04,1721.9
35,Canada,2019-02-05,1725.7
36,Canada,2019-02-06,1729.3
37,Canada,2019-02-07,1737.3
38,Canada,2019-02-08,1745.5
39,Canada,2019-02-09,1745.5
40,Canada,2019-02-10,1745.5
41,Canada,2019-02-11,1738.8
42,Canada,2019-02-12,1736.8
43,Canada,2019-02-13,1737.3
44,Canada,2019-02-14,1746.8
45,Canada,2019-02-15,1748.4
46,Canada,2019-02-16,1748.4
47,Canada,2019-02-17,1748.4
48,Canada,2019-02-18,1754.6
49,Canada,2019-02-19,1769.0
50,Canada,2019-02-20,1769.9
51,Canada,2019-02-21,1755.0
52,Canada,2019-02-22,1752.4
53,Canada,2019-02-23,1752.4
54,Canada,2019-02-24,1752.4
55,Canada,2019-02-25,1753.6
56,Canada,2019-02-26,1748.7
57,Canada,2019-02-27,1738.5
58,Canada,2019-02-28,1737.3
59,Canada,2019-03-01,1737.2
60,Canada,2019-03-02,1737.2
61,Canada,2019-03-03,1737.2
62,Canada,2019-03-04,1712.5
63,Canada,2019-03-05,1713.4
64,Canada,2019-03-06,1725.6
65,Canada,2019-03-07,1726.7
66,Canada,2019-03-08,1742.6
67,Canada,2019-03-09,1742.6
68,Canada,2019-03-10,1742.6
69,Canada,2019-03-11,1734.7
70,Canada,2019-03-12,1735.6
71,Canada,2019-03-13,1740.4
72,Canada,2019-03-14,1725.1
73,Canada,2019-03-15,1738.5
74,Canada,2019-03-16,1738.5
75,Canada,2019-03-17,1738.5
76,Canada,2019-03-18,1742.0
77,Canada,2019-03-19,1738.3
78,Canada,2019-03-20,1737.6
79,Canada,2019-03-21,1750.9
80,Canada,2019-03-22,1757.8
81,Canada,2019-03-23,1757.8
82,Canada,2019-03-24,1757.8
83,Canada,2019-03-25,1770.6
84,Canada,2019-03-26,1762.7
85,Canada,2019-03-27,1759.5
86,Canada,2019-03-28,1738.9
87,Canada,2019-03-29,1730.6
88,Canada,2019-03-30,1730.6
89,Canada,2019-03-31,1730.6
90,Canada,2019-04-01,1725.5
91,Canada,2019-04-02,1722.4
92,Canada,2019-04-03,1718.9
93,Canada,2019-04-04,1713.2
94,Canada,2019-04-05,1723.0
95,Canada,2019-04-06,1723.0
96,Canada,2019-04-07,1723.0
97,Canada,2019-04-08,1732.2
98,Canada,2019-04-09,1735.5
99,Canada,2019-04-10,1740.3
100,Canada,2019-04-11,1736.2
101,Canada,2019-04-12,1724.9
102,Canada,2019-04-13,1724.9
103,Canada,2019-04-14,1724.9
104,Canada,2019-04-15,1718.9
105,Canada,2019-04-16,1705.2
106,Canada,2019-04-17,1700.3
107,Canada,2019-04-18,1705.7
108,Canada,2019-04-19,1705.7
109,Canada,2019-04-20,1705.7
110,Canada,2019-04-21,1705.7
111,Canada,2019-04-22,1704.7
