,Date,Country, Silver Price per tr oz
0,2019-01-01,Canada,21.13
1,2019-01-02,Canada,21.09
2,2019-01-03,Canada,21.23
3,2019-01-04,Canada,20.99
4,2019-01-05,Canada,20.99
5,2019-01-06,Canada,20.99
6,2019-01-07,Canada,20.82
7,2019-01-08,Canada,20.79
8,2019-01-09,Canada,20.8
9,2019-01-10,Canada,20.6
10,2019-01-11,Canada,20.7
11,2019-01-12,Canada,20.7
12,2019-01-13,Canada,20.7
13,2019-01-14,Canada,20.8
14,2019-01-15,Canada,20.67
15,2019-01-16,Canada,20.69
16,2019-01-17,Canada,20.62
17,2019-01-18,Canada,20.35
18,2019-01-19,Canada,20.35
19,2019-01-20,Canada,20.35
20,2019-01-21,Canada,20.3
21,2019-01-22,Canada,20.47
22,2019-01-23,Canada,20.5
23,2019-01-24,Canada,20.45
24,2019-01-25,Canada,20.81
25,2019-01-26,Canada,20.81
26,2019-01-27,Canada,20.81
27,2019-01-28,Canada,20.87
28,2019-01-29,Canada,21.01
29,2019-01-30,Canada,21.12
30,2019-01-31,Canada,21.08
31,2019-02-01,Canada,20.85
32,2019-02-02,Canada,20.85
33,2019-02-03,Canada,20.85
34,2019-02-04,Canada,20.8
35,2019-02-05,Canada,20.81
36,2019-02-06,Canada,20.71
37,2019-02-07,Canada,20.94
38,2019-02-08,Canada,21.02
39,2019-02-09,Canada,21.02
40,2019-02-10,Canada,21.02
41,2019-02-11,Canada,20.91
42,2019-02-12,Canada,20.76
43,2019-02-13,Canada,20.64
44,2019-02-14,Canada,20.77
45,2019-02-15,Canada,20.89
46,2019-02-16,Canada,20.89
47,2019-02-17,Canada,20.89
48,2019-02-18,Canada,20.93
49,2019-02-19,Canada,21.12
50,2019-02-20,Canada,21.16
51,2019-02-21,Canada,20.91
52,2019-02-22,Canada,20.91
53,2019-02-23,Canada,20.91
54,2019-02-24,Canada,20.91
55,2019-02-25,Canada,20.97
56,2019-02-26,Canada,20.99
57,2019-02-27,Canada,20.74
58,2019-02-28,Canada,20.52
59,2019-03-01,Canada,20.23
60,2019-03-02,Canada,20.23
61,2019-03-03,Canada,20.23
62,2019-03-04,Canada,20.08
63,2019-03-05,Canada,20.19
64,2019-03-06,Canada,20.28
65,2019-03-07,Canada,20.21
66,2019-03-08,Canada,20.57
67,2019-03-09,Canada,20.57
68,2019-03-10,Canada,20.57
69,2019-03-11,Canada,20.49
70,2019-03-12,Canada,20.61
71,2019-03-13,Canada,20.54
72,2019-03-14,Canada,20.26
73,2019-03-15,Canada,20.38
74,2019-03-16,Canada,20.38
75,2019-03-17,Canada,20.38
76,2019-03-18,Canada,20.47
77,2019-03-19,Canada,20.48
78,2019-03-20,Canada,20.6
79,2019-03-21,Canada,20.66
80,2019-03-22,Canada,20.71
81,2019-03-23,Canada,20.71
82,2019-03-24,Canada,20.71
83,2019-03-25,Canada,20.81
84,2019-03-26,Canada,20.66
85,2019-03-27,Canada,20.5
86,2019-03-28,Canada,20.17
87,2019-03-29,Canada,20.21
88,2019-03-30,Canada,20.21
89,2019-03-31,Canada,20.21
90,2019-04-01,Canada,20.11
91,2019-04-02,Canada,20.15
92,2019-04-03,Canada,20.2
93,2019-04-04,Canada,20.23
94,2019-04-05,Canada,20.21
95,2019-04-06,Canada,20.21
96,2019-04-07,Canada,20.21
97,2019-04-08,Canada,20.29
98,2019-04-09,Canada,20.28
99,2019-04-10,Canada,20.29
100,2019-04-11,Canada,20.05
101,2019-04-12,Canada,19.95
102,2019-04-13,Canada,19.95
103,2019-04-14,Canada,19.95
104,2019-04-15,Canada,20.05
105,2019-04-16,Canada,20.03
106,2019-04-17,Canada,20.01
107,2019-04-18,Canada,20.08
108,2019-04-19,Canada,20.03
109,2019-04-20,Canada,20.03
110,2019-04-21,Canada,20.03
111,2019-04-22,Canada,20.03
112,2019-04-23,Canada,19.92
113,2019-04-24,Canada,20.16
114,2019-04-25,Canada,20.16
115,2019-04-26,Canada,20.3
116,2019-04-27,Canada,20.3
117,2019-04-28,Canada,20.3
118,2019-04-29,Canada,20.07
119,2019-04-30,Canada,20.0
120,2019-05-01,Canada,19.73
121,2019-05-02,Canada,19.71
122,2019-05-03,Canada,20.05
123,2019-05-04,Canada,20.05
124,2019-05-05,Canada,20.05
125,2019-05-06,Canada,20.02
126,2019-05-07,Canada,20.11
127,2019-05-08,Canada,20.02
128,2019-05-09,Canada,19.9
129,2019-05-10,Canada,19.84
130,2019-05-11,Canada,19.84
131,2019-05-12,Canada,19.84
132,2019-05-13,Canada,19.9
133,2019-05-14,Canada,19.92
134,2019-05-15,Canada,19.89
135,2019-05-16,Canada,19.62
136,2019-05-17,Canada,19.38
137,2019-05-18,Canada,19.38
138,2019-05-19,Canada,19.38
139,2019-05-20,Canada,19.42
140,2019-05-21,Canada,19.38
141,2019-05-22,Canada,19.41
142,2019-05-23,Canada,19.68
143,2019-05-24,Canada,19.58
