Name,United states,Germany,France,Italy,Japan,United Kingdom,Canada,Indian,China
12/29/78,226.0,137.1,137.1,137.1,#N/A,110.7,#N/A,#N/A,#N/A
1/1/79,226.0,137.1,137.1,137.1,#N/A,110.7,#N/A,#N/A,#N/A
1/2/79,226.8,137.3,137.3,137.3,"43,164.9",111.5,263.7,"1,792.9",#N/A
1/3/79,218.6,134.0,134.0,134.0,"43,717.9",108.0,264.4,"1,802.2",#N/A
1/4/79,223.2,136.8,136.8,136.8,"43,674.9",110.7,264.1,"1,811.7",#N/A
1/5/79,225.5,138.4,138.4,138.4,"44,582.5",111.6,268.4,"1,843.6",#N/A
1/8/79,223.1,136.4,136.4,136.4,"44,436.2",110.2,269.5,"1,841.3",#N/A
1/9/79,224.0,137.3,137.3,137.3,"44,045.6",111.0,266.3,"1,822.5",#N/A
1/10/79,220.7,135.5,135.5,135.5,"43,366.4",109.9,261.8,"1,803.5",#N/A
1/11/79,220.7,135.9,135.9,135.9,"43,770.6",110.2,262.5,"1,814.6",#N/A
1/12/79,217.6,134.1,134.1,134.1,"42,837.1",109.0,257.2,"1,782.6",#N/A
1/15/79,216.9,133.8,133.8,133.8,"42,795.3",108.8,256.8,"1,782.0",#N/A
1/16/79,220.7,135.6,135.6,135.6,"43,225.9",110.2,260.9,"1,796.5",#N/A
1/17/79,227.3,139.2,139.2,139.2,"44,349.7",113.3,267.6,"1,842.1",#N/A
1/18/79,231.8,141.7,141.7,141.7,"44,823.4",115.3,270.8,"1,861.7",#N/A
1/19/79,230.6,141.1,141.1,141.1,"46,908.8",115.1,280.9,"1,940.8",#N/A
1/22/79,235.0,144.0,144.0,144.0,"46,387.4",117.6,278.3,"1,886.9",#N/A
1/23/79,230.0,141.1,141.1,141.1,"45,633.1",115.2,273.3,"1,895.4",#N/A
1/24/79,236.1,144.7,144.7,144.7,"46,372.4",118.1,278.9,"1,926.1",#N/A
1/25/79,233.9,144.0,144.0,144.0,"46,890.3",117.3,280.1,"1,937.8",#N/A
1/26/79,235.5,144.6,144.6,144.6,"46,801.3",118.0,279.6,"1,929.3",#N/A
1/29/79,235.2,145.3,145.3,145.3,"46,917.3",117.9,279.3,"1,887.0",#N/A
1/30/79,233.5,144.1,144.1,144.1,"46,907.2",116.9,278.5,"1,921.6",#N/A
1/31/79,233.7,144.8,144.8,144.8,"45,160.3",117.4,267.1,"1,840.8",#N/A
2/1/79,229.4,142.9,142.9,142.9,"47,160.5",115.8,279.2,"1,927.1",#N/A
2/2/79,230.3,143.5,143.5,143.5,"46,328.3",116.3,275.5,"1,907.4",#N/A
2/5/79,243.1,150.3,150.3,150.3,"47,766.0",122.2,285.8,"1,971.9",#N/A
2/6/79,244.5,150.8,150.8,150.8,"48,317.7",122.6,289.7,"1,996.8",#N/A
2/7/79,251.6,153.7,153.7,153.7,"48,835.7",124.9,296.9,"2,031.0",#N/A
2/8/79,250.5,153.5,153.5,153.5,"50,293.3",124.9,303.3,"2,081.0",#N/A
2/9/79,246.8,151.3,151.3,151.3,"48,548.6",123.3,291.4,"2,000.9",#N/A
2/12/79,244.3,150.0,150.0,150.0,"49,820.4",121.9,298.0,"2,046.4",#N/A
2/13/79,240.6,148.1,148.1,148.1,"48,714.8",120.1,291.0,"2,000.6",#N/A
2/14/79,240.7,148.3,148.3,148.3,"47,638.5",120.0,283.2,"1,946.7",#N/A
2/15/79,247.8,152.4,152.4,152.4,"49,146.7",123.6,292.6,"2,008.3",#N/A
2/16/79,247.1,152.2,152.2,152.2,"49,351.9",123.3,293.5,"2,016.7",#N/A
2/19/79,248.1,152.8,152.8,152.8,"50,094.5",123.9,298.3,"2,047.4",#N/A
2/20/79,247.0,152.2,152.2,152.2,"49,921.7",123.2,296.4,"2,032.4",#N/A
1/16/85,302.7,400.1,400.1,400.1,"77,053.2",270.6,400.8,"3,818.7",857.3
1/17/85,305.5,403.0,403.0,403.0,"77,816.5",273.0,405.7,"3,859.9",866.6
1/18/85,308.0,406.2,406.2,406.2,"78,025.5",274.8,407.5,"3,883.3",868.1
1/21/85,307.3,404.6,404.6,404.6,"77,877.2",273.5,406.5,"3,891.1",866.5
1/22/85,306.9,403.5,403.5,403.5,"77,893.7",272.9,406.0,"3,864.5",865.2
1/23/85,300.3,396.2,396.2,396.2,"76,919.3",270.4,401.3,"3,842.4",862.6
1/24/85,300.9,394.8,394.8,394.8,"76,657.0",269.2,400.2,"3,815.8",856.7
1/25/85,298.9,393.2,393.2,393.2,"75,978.8",269.1,397.3,"3,805.5",854.4
1/28/85,297.8,391.6,391.6,391.6,"75,926.7",268.0,395.9,"3,789.6",840.1
1/29/85,303.3,399.6,399.6,399.6,"77,284.1",272.1,405.1,"3,830.1",851.2
1/30/85,302.9,398.2,398.2,398.2,"77,128.6",268.9,402.3,"3,793.7",840.7
