"Date","Price","Open","High","Low","Change %"
"Sep 28, 2020","31.75","30.76","31.83","30.15","3.20%"
"Sep 27, 2020","30.77","30.64","30.89","30.62","0.48%"
"Sep 25, 2020","30.62","30.94","31.12","30.05","-0.94%"
"Sep 24, 2020","30.91","30.50","31.14","29.04","1.47%"
"Sep 23, 2020","30.46","32.43","32.55","30.22","-5.92%"
"Sep 22, 2020","32.38","32.89","33.56","31.80","-1.36%"
"Sep 21, 2020","32.83","35.33","35.54","31.56","-7.12%"
"Sep 18, 2020","35.34","35.61","35.80","35.22","-0.64%"
"Sep 17, 2020","35.57","35.81","36.06","34.79","-0.57%"
"Sep 16, 2020","35.77","35.81","36.18","35.40","0.04%"
"Sep 15, 2020","35.76","35.81","36.33","35.56","-0.03%"
"Sep 14, 2020","35.77","35.29","35.99","35.17","1.65%"
"Sep 11, 2020","35.19","35.49","35.63","35.02","-0.75%"
"Sep 10, 2020","35.45","35.49","36.08","35.21","0.04%"
"Sep 09, 2020","35.44","35.31","35.69","34.94","0.49%"
"Sep 08, 2020","35.27","35.39","35.58","34.12","-0.26%"
"Sep 07, 2020","35.36","35.14","35.53","34.79","0.73%"
"Sep 04, 2020","35.10","34.92","35.39","34.53","0.63%"
"Sep 03, 2020","34.88","35.78","36.19","34.80","-2.42%"
"Sep 02, 2020","35.75","36.74","36.97","35.37","-2.62%"
"Sep 01, 2020","36.71","36.71","37.58","36.24","0.08%"
"Aug 31, 2020","36.68","36.05","36.97","36.02","1.89%"
"Aug 28, 2020","36.00","35.47","36.32","35.23","1.65%"
"Aug 27, 2020","35.42","36.15","36.60","34.87","-1.91%"
"Aug 26, 2020","36.11","34.95","36.17","34.42","3.42%"
"Aug 25, 2020","34.92","35.18","35.45","34.41","-0.66%"
"Aug 24, 2020","35.15","35.22","35.82","34.56","-0.04%"
"Aug 21, 2020","35.16","35.91","36.27","34.46","-1.97%"
"Aug 20, 2020","35.87","35.29","36.28","35.16","1.75%"
"Aug 19, 2020","35.25","36.45","36.88","35.03","-3.16%"
"Aug 18, 2020","36.40","36.34","37.45","35.81","0.25%"
"Aug 17, 2020","36.31","35.06","36.38","34.25","3.64%"
"Aug 14, 2020","35.04","36.37","36.65","34.10","-3.59%"
"Aug 13, 2020","36.34","33.77","36.64","33.48","7.69%"
"Aug 12, 2020","33.75","33.00","35.00","31.27","2.37%"
"Aug 11, 2020","32.96","38.88","39.06","32.51","-15.12%"
"Aug 10, 2020","38.84","37.88","39.26","37.28","2.47%"
"Aug 07, 2020","37.90","38.47","39.77","36.67","-1.50%"
"Aug 06, 2020","38.47","35.77","38.70","35.55","7.59%"
"Aug 05, 2020","35.76","34.64","35.97","33.76","3.24%"
"Aug 04, 2020","34.64","32.58","34.70","32.34","6.31%"
"Aug 03, 2020","32.58","32.72","33.31","32.28","-0.32%"
"Jul 31, 2020","32.69","31.56","32.78","31.28","3.55%"
"Jul 30, 2020","31.57","32.42","32.74","30.77","-2.62%"
"Jul 29, 2020","32.41","32.68","33.26","31.18","-0.81%"
"Jul 28, 2020","32.68","32.85","34.97","29.90","-0.52%"
"Jul 27, 2020","32.85","30.58","32.90","30.49","7.54%"
"Jul 24, 2020","30.55","30.32","30.75","30.09","0.77%"
"Jul 23, 2020","30.31","30.89","31.19","29.86","-1.87%"
