"Date","Price","Open","High","Low","Change %"
"Sep 28, 2020","20.36","19.76","20.41","19.37","3.04%"
"Sep 27, 2020","19.76","19.74","19.85","19.69","0.48%"
"Sep 25, 2020","19.67","19.84","19.98","19.30","-0.74%"
"Sep 24, 2020","19.81","19.54","19.99","18.59","1.53%"
"Sep 23, 2020","19.51","20.82","20.91","19.38","-6.15%"
"Sep 22, 2020","20.79","21.00","21.44","20.32","-0.77%"
"Sep 21, 2020","20.95","22.61","22.74","20.21","-7.30%"
"Sep 18, 2020","22.60","22.83","22.96","22.54","-0.87%"
"Sep 17, 2020","22.80","23.00","23.16","22.30","-0.75%"
"Sep 16, 2020","22.97","22.92","23.16","22.78","0.33%"
"Sep 15, 2020","22.90","22.90","23.24","22.78","0.11%"
"Sep 14, 2020","22.87","22.61","23.00","22.52","1.46%"
"Sep 11, 2020","22.54","22.77","22.83","22.46","-0.89%"
"Sep 10, 2020","22.75","22.88","23.10","22.59","-0.44%"
"Sep 09, 2020","22.85","22.64","22.98","22.46","0.99%"
"Sep 08, 2020","22.63","22.87","22.93","21.97","-0.96%"
"Sep 07, 2020","22.84","22.75","22.96","22.48","0.63%"
"Sep 04, 2020","22.70","22.45","22.80","22.30","1.22%"
"Sep 03, 2020","22.43","23.15","23.42","22.36","-2.99%"
"Sep 02, 2020","23.12","23.61","23.75","22.87","-2.00%"
"Sep 01, 2020","23.59","23.58","24.12","23.27","0.14%"
"Aug 31, 2020","23.56","23.12","23.76","23.10","2.03%"
"Aug 28, 2020","23.09","22.85","23.29","22.71","1.13%"
"Aug 27, 2020","22.83","23.25","23.50","22.53","-1.72%"
"Aug 26, 2020","23.23","22.42","23.26","22.15","3.70%"
"Aug 25, 2020","22.40","22.57","22.71","22.07","-0.72%"
"Aug 24, 2020","22.56","22.66","22.99","22.25","-0.27%"
"Aug 21, 2020","22.62","22.96","23.19","22.15","-1.38%"
"Aug 20, 2020","22.94","22.56","23.21","22.47","1.78%"
"Aug 19, 2020","22.54","23.20","23.49","22.37","-2.75%"
"Aug 18, 2020","23.17","23.16","23.86","22.75","0.10%"
"Aug 17, 2020","23.15","22.34","23.23","21.81","3.82%"
"Aug 14, 2020","22.30","23.29","23.46","21.74","-4.16%"
"Aug 13, 2020","23.27","21.64","23.46","21.45","7.61%"
"Aug 12, 2020","21.62","21.13","22.38","20.00","2.41%"
"Aug 11, 2020","21.11","24.81","24.92","20.82","-14.81%"
"Aug 10, 2020","24.78","24.02","24.98","23.63","3.27%"
"Aug 07, 2020","23.99","24.35","25.14","23.28","-1.35%"
"Aug 06, 2020","24.32","22.72","24.50","22.57","7.16%"
"Aug 05, 2020","22.70","22.03","22.86","21.50","3.13%"
"Aug 04, 2020","22.01","20.68","22.06","20.51","6.40%"
"Aug 03, 2020","20.68","20.72","21.11","20.49","0.00%"
"Jul 31, 2020","20.69","19.85","20.77","19.63","4.21%"
"Jul 30, 2020","19.85","20.61","20.82","19.49","-3.66%"
"Jul 29, 2020","20.60","20.84","21.14","19.82","-1.17%"
"Jul 28, 2020","20.85","20.93","22.28","19.08","-0.39%"
"Jul 27, 2020","20.93","19.55","20.98","19.51","7.11%"
"Jul 24, 2020","19.54","19.49","19.73","19.32","0.23%"
"Jul 23, 2020","19.49","19.89","20.10","19.20","-2.04%"
"Jul 22, 2020","19.90","18.47","19.94","18.45","7.72%"
"Jul 21, 2020","18.47","17.41","18.51","17.29","6.13%"
"Jul 20, 2020","17.41","16.95","17.41","16.81","2.84%"
"Jul 17, 2020","16.93","16.84","16.97","16.63","0.55%"
"Jul 16, 2020","16.84","17.02","17.07","16.77","-1.10%"
"Jul 15, 2020","17.02","16.86","17.07","16.73","0.92%"
"Jul 14, 2020","16.87","16.82","16.97","16.60","0.30%"
"Jul 13, 2020","16.82","16.54","17.06","16.53","1.54%"
"Jul 10, 2020","16.56","16.54","16.65","16.40","0.16%"
"Jul 09, 2020","16.54","16.54","16.81","16.37","0.00%"
"Jul 08, 2020","16.54","16.25","16.56","16.17","1.74%"
"Jul 07, 2020","16.25","16.16","16.29","15.95","0.58%"
"Jul 06, 2020","16.16","16.09","16.23","15.90","0.49%"
"Jul 03, 2020","16.08","15.97","16.11","15.95","0.69%"
"Jul 02, 2020","15.97","16.01","16.11","15.77","-0.25%"
"Jul 01, 2020","16.01","16.22","16.46","15.82","-1.27%"
"Jun 30, 2020","16.22","15.88","16.25","15.80","2.10%"
"Jun 29, 2020","15.88","15.83","16.00","15.67","0.13%"
"Jun 26, 2020","15.86","15.87","15.99","15.62","-0.07%"
"Jun 25, 2020","15.87","15.56","15.89","15.51","2.02%"
"Jun 24, 2020","15.56","15.86","15.97","15.45","-1.88%"
"Jun 23, 2020","15.86","15.74","15.95","15.67","0.73%"
"Jun 22, 2020","15.74","15.75","16.10","15.69","-0.23%"
"Jun 19, 2020","15.78","15.52","15.91","15.49","1.62%"
"Jun 18, 2020","15.53","15.57","15.73","15.44","-0.26%"
"Jun 17, 2020","15.57","15.51","15.70","15.36","0.35%"
"Jun 16, 2020","15.51","15.35","15.61","15.21","1.05%"
"Jun 15, 2020","15.35","15.55","15.63","15.06","-1.28%"
"Jun 12, 2020","15.55","15.63","15.73","15.41","-0.47%"
"Jun 11, 2020","15.63","15.94","16.10","15.47","-1.97%"
"Jun 10, 2020","15.94","15.47","15.99","15.45","3.01%"
"Jun 09, 2020","15.47","15.74","15.88","15.45","-1.74%"
"Jun 08, 2020","15.75","15.42","15.76","15.33","1.96%"
"Jun 05, 2020","15.44","15.62","15.72","15.22","-1.10%"
"Jun 04, 2020","15.62","15.72","15.90","15.55","-0.67%"
"Jun 03, 2020","15.72","16.19","16.29","15.56","-2.89%"
"Jun 02, 2020","16.19","16.44","16.51","15.90","-1.52%"
"Jun 01, 2020","16.44","16.10","16.55","16.06","2.13%"
"May 29, 2020","16.10","15.68","16.18","15.59","2.62%"
"May 28, 2020","15.68","15.69","15.89","15.57","-0.05%"
"May 27, 2020","15.69","15.60","15.81","15.31","0.57%"
"May 26, 2020","15.60","15.83","16.02","15.48","-1.40%"
"May 25, 2020","15.83","15.79","15.85","15.51","0.15%"
"May 22, 2020","15.80","15.62","15.84","15.27","1.16%"
"May 21, 2020","15.62","15.99","16.08","15.40","-2.31%"
"May 20, 2020","15.99","15.88","16.09","15.76","0.64%"
"May 19, 2020","15.89","15.54","15.99","15.51","2.23%"
"May 18, 2020","15.54","15.39","16.24","15.37","0.99%"
"May 15, 2020","15.39","14.70","15.48","14.58","4.68%"
"May 14, 2020","14.70","14.40","14.75","14.28","2.11%"
"May 13, 2020","14.40","14.24","14.46","14.11","1.09%"
"May 12, 2020","14.24","14.34","14.42","14.21","-0.66%"
"May 11, 2020","14.34","14.28","14.41","14.12","0.43%"
"May 08, 2020","14.28","14.18","14.42","14.04","0.66%"
"May 07, 2020","14.18","13.77","14.26","13.72","3.03%"
"May 06, 2020","13.77","13.81","14.03","13.71","-0.35%"
"May 05, 2020","13.81","13.56","13.87","13.51","1.92%"
"May 04, 2020","13.55","13.63","13.79","13.44","-0.67%"
"May 01, 2020","13.65","13.68","13.76","13.40","-0.22%"
"Apr 30, 2020","13.68","14.08","14.26","13.52","-2.86%"
"Apr 29, 2020","14.08","14.02","14.16","13.89","0.45%"
"Apr 28, 2020","14.02","14.04","14.13","13.77","-0.17%"
"Apr 27, 2020","14.04","14.12","14.17","13.85","-0.34%"
"Apr 24, 2020","14.09","14.17","14.27","13.91","-0.60%"
"Apr 23, 2020","14.17","13.97","14.30","13.83","1.48%"
"Apr 22, 2020","13.97","13.71","14.04","13.51","1.87%"
"Apr 21, 2020","13.71","14.11","14.18","13.40","-2.83%"
"Apr 20, 2020","14.11","13.96","14.21","13.86","1.04%"
"Apr 17, 2020","13.96","14.34","14.44","13.86","-2.63%"
"Apr 16, 2020","14.34","14.18","14.36","14.04","1.13%"
"Apr 15, 2020","14.18","14.37","14.42","13.99","-1.29%"
"Apr 14, 2020","14.37","14.10","14.46","14.04","1.91%"
"Apr 13, 2020","14.10","14.11","14.22","13.84","-0.16%"
"Apr 10, 2020","14.12","14.12","14.19","14.06","0.00%"
"Apr 09, 2020","14.12","13.79","14.24","13.73","2.33%"
"Apr 08, 2020","13.80","13.79","13.98","13.66","0.07%"
"Apr 07, 2020","13.79","13.91","14.37","13.60","-0.85%"
"Apr 06, 2020","13.91","13.33","13.99","13.16","4.37%"
"Apr 03, 2020","13.33","13.33","13.51","13.21","0.00%"
"Apr 02, 2020","13.33","12.75","13.42","12.69","4.56%"
"Apr 01, 2020","12.75","12.67","12.92","12.58","0.57%"
"Mar 31, 2020","12.67","12.73","12.96","12.63","-0.44%"
"Mar 30, 2020","12.73","13.01","13.12","12.49","-2.15%"
"Mar 27, 2020","13.01","13.06","13.28","12.88","-0.40%"
"Mar 26, 2020","13.06","13.29","13.40","12.96","-1.73%"
"Mar 25, 2020","13.29","13.25","13.65","12.96","0.27%"
"Mar 24, 2020","13.25","12.38","13.32","12.22","7.02%"
"Mar 23, 2020","12.38","11.81","12.40","11.51","4.79%"
"Mar 20, 2020","11.82","11.34","12.08","11.25","4.26%"
"Mar 19, 2020","11.34","10.97","11.49","10.82","3.33%"
"Mar 18, 2020","10.97","11.48","11.72","10.69","-4.44%"
"Mar 17, 2020","11.48","11.54","12.00","10.96","-0.52%"
"Mar 16, 2020","11.54","13.26","13.53","10.55","-12.91%"
"Mar 13, 2020","13.25","14.14","14.28","13.03","-6.36%"
