"Date","Price","Open","High","Low","Change %"
"Sep 28, 2020","18.4664","18.0082","18.5280","17.6215","2.51%"
"Sep 27, 2020","18.0137","17.9533","18.0922","17.9027","0.38%"
"Sep 25, 2020","17.9451","18.1551","18.2765","17.6786","-1.08%"
"Sep 24, 2020","18.1408","17.9071","18.2915","17.0536","1.43%"
"Sep 23, 2020","17.8846","19.1402","19.2090","17.7664","-6.46%"
"Sep 22, 2020","19.1205","19.2905","19.6854","18.7101","-0.65%"
"Sep 21, 2020","19.2464","20.7258","20.8190","18.5350","-7.11%"
"Sep 18, 2020","20.7192","20.8463","20.9779","20.6010","-0.50%"
"Sep 17, 2020","20.8231","20.9587","21.1028","20.4202","-0.53%"
"Sep 16, 2020","20.9345","21.0683","21.2887","20.7563","-0.54%"
"Sep 15, 2020","21.0473","21.1536","21.4062","20.9475","-0.39%"
"Sep 14, 2020","21.1300","20.9053","21.2104","20.7918","1.24%"
"Sep 11, 2020","20.8704","21.0196","21.1217","20.7341","-0.56%"
"Sep 10, 2020","20.9885","20.7614","21.2236","20.6626","1.20%"
"Sep 09, 2020","20.7398","20.5469","20.8700","20.4162","1.05%"
"Sep 08, 2020","20.5253","20.5163","20.7083","19.8640","0.12%"
"Sep 07, 2020","20.5011","20.2803","20.5280","20.0772","1.31%"
"Sep 04, 2020","20.2364","20.0308","20.3335","19.9023","1.13%"
"Sep 03, 2020","20.0105","20.5452","20.7835","19.9646","-2.52%"
"Sep 02, 2020","20.5288","21.0155","21.1359","20.3235","-2.22%"
"Sep 01, 2020","20.9958","21.0564","21.5082","20.7123","-0.14%"
"Aug 31, 2020","21.0259","20.6353","21.2121","20.6043","2.15%"
"Aug 28, 2020","20.5841","20.4643","20.7952","20.3428","0.70%"
"Aug 27, 2020","20.4408","20.8280","21.0331","20.1439","-1.74%"
"Aug 26, 2020","20.8027","20.1756","20.8289","19.8712","3.22%"
"Aug 25, 2020","20.1536","20.3666","20.4718","19.8572","-0.99%"
"Aug 24, 2020","20.3559","20.4139","20.7367","20.0313","-0.14%"
"Aug 21, 2020","20.3854","20.6076","20.8195","19.8870","-0.99%"
"Aug 20, 2020","20.5887","20.3917","20.9515","20.2981","1.11%"
"Aug 19, 2020","20.3633","20.9074","21.2204","20.2244","-2.48%"
"Aug 18, 2020","20.8821","20.9902","21.5711","20.5422","-0.41%"
"Aug 17, 2020","20.9691","20.2078","21.0298","19.7248","3.92%"
"Aug 14, 2020","20.1788","21.0681","21.2127","19.6537","-4.10%"
