"Date","Price","Open","High","Low","Change %"
"Sep 28, 2020","23.776","22.992","23.831","22.520","3.41%"
"Sep 27, 2020","22.992","22.891","23.090","22.873","0.58%"
"Sep 25, 2020","22.860","23.155","23.316","22.450","-1.49%"
"Sep 24, 2020","23.205","22.895","23.360","21.661","1.46%"
"Sep 23, 2020","22.870","24.400","24.480","22.595","-6.33%"
"Sep 22, 2020","24.415","24.725","25.238","23.827","-1.27%"
"Sep 21, 2020","24.730","26.797","26.967","23.716","-7.60%"
"Sep 18, 2020","26.765","27.085","27.220","26.705","-1.24%"
"Sep 17, 2020","27.100","27.315","27.315","26.311","-0.48%"
"Sep 16, 2020","27.230","27.235","27.455","26.879","-0.02%"
"Sep 15, 2020","27.235","27.147","27.633","27.002","0.29%"
"Sep 14, 2020","27.155","26.765","27.310","26.673","1.55%"
"Sep 11, 2020","26.740","26.878","27.044","26.580","-0.67%"
"Sep 10, 2020","26.920","26.989","27.493","26.680","-0.39%"
"Sep 09, 2020","27.025","26.627","27.130","26.407","1.20%"
"Sep 08, 2020","26.705","26.934","27.103","25.860","-1.09%"
"Sep 07, 2020","27.000","26.875","27.176","26.615","0.45%"
"Sep 04, 2020","26.880","26.590","27.013","26.309","0.96%"
"Sep 03, 2020","26.625","27.433","27.720","26.480","-3.16%"
"Sep 02, 2020","27.495","28.125","28.320","27.078","-2.38%"
"Sep 01, 2020","28.165","28.265","28.910","27.714","-0.19%"
"Aug 31, 2020","28.220","27.538","28.368","27.538","2.66%"
"Aug 28, 2020","27.490","27.053","27.720","26.830","1.65%"
"Aug 27, 2020","27.045","27.519","27.918","26.524","-1.73%"
"Aug 26, 2020","27.520","26.475","27.545","26.097","4.12%"
"Aug 25, 2020","26.430","26.545","26.808","26.072","-0.41%"
"Aug 24, 2020","26.540","26.764","27.245","26.257","-0.56%"
"Aug 21, 2020","26.689","27.264","27.545","26.060","-1.95%"
"Aug 20, 2020","27.220","26.715","27.528","26.605","1.87%"
"Aug 19, 2020","26.720","27.723","28.043","26.495","-3.36%"
"Aug 18, 2020","27.650","27.455","28.460","27.121","0.66%"
"Aug 17, 2020","27.470","26.642","27.571","25.830","4.01%"
"Aug 14, 2020","26.410","27.523","27.724","25.748","-4.16%"
"Aug 13, 2020","27.555","25.583","27.721","25.281","7.81%"
"Aug 12, 2020","25.560","24.781","26.292","23.445","3.11%"
"Aug 11, 2020","24.790","29.185","29.260","24.430","-14.96%"
"Aug 10, 2020","29.150","28.463","29.423","27.868","3.04%"
"Aug 07, 2020","28.290","28.935","29.863","27.376","-2.25%"
"Aug 06, 2020","28.940","26.991","29.090","26.800","7.11%"
"Aug 05, 2020","27.020","26.015","27.145","25.373","3.92%"
"Aug 04, 2020","26.000","24.245","26.029","24.120","7.11%"
"Aug 03, 2020","24.275","24.760","24.851","24.060","-0.57%"
"Jul 31, 2020","24.415","23.526","24.472","23.294","3.61%"
"Jul 30, 2020","23.565","24.415","24.425","22.916","-3.52%"
"Jul 29, 2020","24.425","24.605","24.940","23.330","-0.69%"
"Jul 28, 2020","24.595","24.565","26.205","22.346","-0.16%"
"Jul 27, 2020","24.635","22.745","24.635","22.720","8.19%"
"Jul 24, 2020","22.770","22.695","22.930","22.413","0.11%"
"Jul 23, 2020","22.745","23.065","23.258","22.270","-1.34%"
"Jul 22, 2020","23.055","21.303","23.071","21.284","7.96%"
"Jul 21, 2020","21.355","19.930","21.355","19.853","7.18%"
"Jul 20, 2020","19.925","19.354","19.930","19.245","3.05%"
"Jul 17, 2020","19.335","19.155","19.405","18.925","0.73%"
"Jul 16, 2020","19.195","19.425","19.485","19.098","-1.13%"
"Jul 15, 2020","19.415","19.205","19.480","19.130","0.99%"
"Jul 14, 2020","19.225","19.115","19.300","18.870","0.63%"
"Jul 13, 2020","19.105","18.692","19.376","18.692","2.19%"
"Jul 10, 2020","18.695","18.695","18.820","18.479","0.05%"
"Jul 09, 2020","18.685","18.645","19.052","18.483","-0.59%"
"Jul 08, 2020","18.795","18.340","18.795","18.240","2.54%"
"Jul 07, 2020","18.330","18.245","18.378","17.987","0.52%"
"Jul 06, 2020","18.235","18.048","18.410","17.940","0.80%"
"Jul 03, 2020","18.090","18.050","18.110","17.929","0.78%"
"Jul 02, 2020","17.950","17.960","18.136","17.760","-0.11%"
"Jul 01, 2020","17.970","18.170","18.462","17.825","-1.05%"
"Jun 30, 2020","18.160","17.820","18.257","17.765","1.54%"
"Jun 29, 2020","17.885","17.813","17.965","17.675","0.62%"
"Jun 26, 2020","17.775","17.797","17.945","17.492","-0.73%"
