Date,Open,High,Low,Close,Adj Close,Volume
5/2/2018,24015,24306,23999,24266,24266,461247800
5/3/2018,24229,24270,24027,24064,24064,358699100
5/4/2018,24175,24335,24144,24335,24335,534099100
5/7/2018,24355,24544,24275,24544,24544,390192300
5/8/2018,24488,24512,23951,24143,24143,665560700
5/9/2018,24218,24419,24209,24267,24267,470724900
5/10/2018,24280,24329,23871,24034,24034,596013000
5/11/2018,24123,24171,23970,24159,24159,413594100
5/14/2018,24160,24221,23960,24221,24221,305940700
5/15/2018,24144,24360,24142,24297,24297,461869800
5/16/2018,24176,24221,23617,23734,23734,777414200
5/17/2018,23831,23985,23613,23802,23802,561865800
5/18/2018,23919,23921,23384,23450,23450,763408300
5/21/2018,23083,23428,22952,23092,23092,551293800
5/22/2018,23135,23298,23024,23217,23217,538455700
5/23/2018,23061,23061,22754,22912,22912,457878400
5/24/2018,22990,23142,22627,22749,22749,459256400
5/25/2018,22795,22828,22205,22398,22398,716650400
5/28/2018,22635,22856,21797,21933,21933,680125000
5/29/2018,21554,21666,21123,21351,21351,1036363600
5/30/2018,21480,21870,21287,21798,21798,781761900
5/31/2018,21881,22100,21600,21784,21784,958403700
6/1/2018,22251,22416,22020,22110,22110,716898600
6/4/2018,22352,22381,21916,22010,22010,455517200
6/5/2018,21945,22195,21750,21750,21750,530623800
6/6/2018,21815,21877,21412,21808,21808,578760000
6/7/2018,21955,22073,21690,21768,21768,428230300
6/8/2018,21498,21661,21298,21356,21356,442915100
6/11/2018,21786,22139,21740,22086,22086,557914300
6/12/2018,22199,22340,21998,22120,22120,406674500
6/13/2018,22170,22364,22115,22216,22216,417754800
6/14/2018,22107,22517,21978,22486,22486,491746000
6/15/2018,22504,22508,22163,22190,22190,634104200
6/18/2018,22098,22199,21949,22099,22099,356939700
6/19/2018,21798,22172,21717,22084,22084,430897400
6/20/2018,22276,22325,22107,22121,22121,414101600
6/21/2018,22199,22235,21638,21673,21673,407073300
6/22/2018,21739,21958,21725,21888,21888,359000300
6/25/2018,21731,21762,21355,21355,21355,304202200
6/26/2018,21501,21580,21321,21419,21419,408545300
6/27/2018,21401,21727,21157,21558,21558,513263100
6/28/2018,21430,21626,21295,21432,21432,375562700
6/29/2018,21712,21843,21587,21626,21626,402258400
7/2/2018,21411,21534,21169,21427,21427,319464400
7/3/2018,21550,21825,21459,21764,21764,404344500
7/4/2018,21737,21775,21660,21687,21687,226779800
7/5/2018,21767,22040,21767,21914,21914,358476200
7/6/2018,21990,22010,21812,21926,21926,292681000
7/9/2018,22040,22090,21955,22033,22033,238081700
7/10/2018,22080,22194,21912,22057,22057,333095400
7/11/2018,21888,21907,21669,21708,21708,302140800
7/12/2018,21754,21836,21580,21790,21790,323964700
7/13/2018,21883,21962,21809,21892,21892,320565000
7/16/2018,21895,22072,21823,21823,21823,261290500
7/17/2018,21819,21996,21741,21978,21978,290647800
7/18/2018,22059,22066,21906,21972,21972,295425700
7/19/2018,21969,22067,21808,21885,21885,344181700
7/20/2018,21759,21855,21594,21795,21795,387408400
7/23/2018,21626,21778,21535,21605,21605,276006100
7/24/2018,21745,21904,21723,21875,21875,330384700
7/25/2018,21843,21937,21546,21561,21561,417430200
7/26/2018,21711,21873,21692,21863,21863,322929900
7/27/2018,21832,21970,21832,21955,21955,404165800
7/30/2018,21864,21970,21854,21941,21941,293427300
7/31/2018,21931,22244,21930,22216,22216,417525100
8/1/2018,22224,22224,21791,21791,21791,484075600
8/2/2018,21651,21678,21323,21415,21415,484060900
8/3/2018,21470,21694,21324,21587,21587,376805800
8/6/2018,21608,21638,21466,21580,21580,315083100
8/7/2018,21663,21887,21657,21854,21854,276949900
8/8/2018,21862,21950,21761,21790,21790,293476500
8/9/2018,21774,21809,21580,21634,21634,245826000
8/10/2018,21388,21448,20968,21091,21091,463584800
8/13/2018,20944,21060,20769,20969,20969,328280100
8/14/2018,21101,21139,20861,20906,20906,323574500
8/16/2018,20799,20903,20470,20524,20524,404352800
8/17/2018,20494,20573,20236,20415,20415,385902100
8/20/2018,20472,20560,20366,20471,20471,277182100
8/21/2018,20459,20832,20452,20784,20784,305322900
8/22/2018,20715,20832,20666,20700,20700,280909400
8/23/2018,20690,20734,20548,20609,20609,287074600
8/24/2018,20628,20775,20628,20742,20742,256902300
8/27/2018,20786,20801,20583,20798,20798,187209100
8/28/2018,20834,20844,20550,20620,20620,328995300
8/29/2018,20614,20760,20513,20760,20760,311408900
8/30/2018,20721,20781,20495,20495,20495,361464800
8/31/2018,20509,20519,20244,20269,20269,480358400
9/3/2018,20269,20414,20253,20396,20396,252617500
9/4/2018,20510,20650,20377,20601,20601,704572100
9/5/2018,20581,20877,20501,20582,20582,648308900
9/6/2018,20563,20761,20489,20527,20527,394861700
9/7/2018,20558,20602,20310,20448,20448,404107100
9/10/2018,20449,20995,20405,20919,20919,503038300
9/11/2018,21012,21022,20724,20854,20854,322939900
9/12/2018,20897,20966,20646,20963,20963,399578100
9/13/2018,20899,21052,20829,20846,20846,293896300
9/14/2018,20953,20959,20775,20885,20885,245503300
9/17/2018,20823,21149,20798,21111,21111,387699300
9/18/2018,21120,21228,21026,21228,21228,390704700
9/19/2018,21235,21324,21091,21281,21281,391674800
9/20/2018,21295,21476,21285,21388,21388,460993900
9/21/2018,21545,21653,21462,21537,21537,695497300
9/24/2018,21444,21487,21333,21340,21340,345524900
9/25/2018,21394,21669,21393,21669,21669,383515500
9/26/2018,21651,21680,21574,21646,21646,397300600
9/27/2018,21504,21548,21220,21511,21511,448084600
9/28/2018,21299,21299,20511,20712,20712,794451000
10/1/2018,20602,21078,20553,20610,20610,611286700
10/2/2018,20337,20659,20207,20562,20562,630204000
10/3/2018,20825,20871,20579,20736,20736,533967200
10/4/2018,20714,20770,20581,20613,20613,447946400
