Date,Open,High,Low,Close,Adj Close,Volume
7/9/2019,21930,22003,21820,21886,21886,347663600
7/10/2019,21894,22186,21879,22045,22045,355846800
7/11/2019,22150,22270,22126,22169,22169,328046100
7/12/2019,22182,22263,22175,22183,22183,314774600
7/15/2019,22239,22330,22127,22178,22178,285274600
7/16/2019,22158,22273,22079,22204,22204,313883700
7/17/2019,22160,22237,22036,22079,22079,334285900
7/18/2019,21950,22196,21925,22091,22091,317501100
7/19/2019,22195,22198,21628,21641,21641,493802000
7/22/2019,21616,21747,21588,21736,21736,289944800
7/23/2019,21824,22008,21796,21955,21955,322261700
7/24/2019,21996,22087,21934,22080,22080,302986700
7/25/2019,22158,22357,21779,21903,21903,464940800
7/26/2019,21909,21911,21764,21838,21838,394095500
7/29/2019,21784,21865,21709,21709,21709,299188000
7/30/2019,21695,21695,21235,21278,21278,469200300
7/31/2019,21300,21422,21265,21398,21398,369458500
8/1/2019,21307,21606,21303,21567,21567,361628700
8/2/2019,21155,21303,21039,21047,21047,463156900
8/5/2019,20880,20964,20688,20773,20773,414502000
8/6/2019,20814,20915,20632,20632,20632,312209800
8/7/2019,20669,20810,20407,20539,20539,458261200
8/8/2019,20737,20841,20598,20841,20841,345985900
8/9/2019,20505,20584,20296,20324,20324,621898600
8/12/2019,20446,20560,20243,20264,20264,328344800
8/13/2019,20191,20597,20067,20539,20539,506203600
8/14/2019,20525,20525,19936,20020,20020,450629900
8/16/2019,20083,20348,20010,20323,20323,539327500
8/19/2019,20506,20730,20472,20715,20715,354908200
8/20/2019,20673,20718,20452,20485,20485,323170700
8/21/2019,20563,20911,20562,20847,20847,308790900
8/22/2019,20793,21044,20768,20817,20817,342319300
8/23/2019,20963,20965,20474,20474,20474,399795800
8/26/2019,20482,20721,20367,20677,20677,304979300
8/27/2019,20733,21061,20664,20991,20991,396647200
8/28/2019,20983,21013,20831,20991,20991,360705000
8/29/2019,21020,21441,20973,21398,21398,523182500
8/30/2019,21400,21559,21255,21323,21323,402872700
9/2/2019,21390,21567,21389,21452,21452,227807500
9/3/2019,21438,21497,21311,21399,21399,283939100
9/4/2019,21665,21777,21630,21738,21738,408310000
9/5/2019,21853,21955,21796,21955,21955,444458900
9/6/2019,21967,22010,21857,21947,21947,396569400
9/9/2019,22008,22041,21935,21990,21990,358176500
9/10/2019,21964,21989,21824,21869,21869,465833900
9/11/2019,21994,22033,21796,21892,21892,520578100
9/12/2019,21983,22141,21835,22083,22083,576922200
9/13/2019,22127,22230,22076,22181,22181,489149200
9/16/2019,22125,22139,21898,21969,21969,433352100
9/17/2019,21964,21989,21783,21802,21802,402607500
9/18/2019,21787,22009,21774,21948,21948,323308900
9/19/2019,21965,22160,21930,22128,22128,409468500
9/20/2019,22191,22283,22112,22123,22123,639677700
9/23/2019,22088,22111,21831,21900,21900,369579300
9/24/2019,21955,21994,21885,21901,21901,329448400
9/25/2019,21796,21806,21492,21788,21788,383403300
9/26/2019,21791,22006,21778,21948,21948,322274800
9/27/2019,null,null,null,null,null,null
9/30/2019,22008,22131,21935,22108,22108,331571400
10/1/2019,22185,22294,21928,21928,21928,430463500
10/2/2019,21872,21893,21298,21298,21298,552414200
10/3/2019,21302,21457,21127,21312,21312,391603300
10/4/2019,21374,21473,21258,21470,21470,411527400
10/7/2019,21442,21652,21379,21652,21652,258014500
10/8/2019,21681,21685,21337,21406,21406,320247200
10/9/2019,21414,21649,21366,21534,21534,328849800
10/10/2019,21555,21764,21420,21756,21756,414631200
10/11/2019,21838,22165,21776,22165,22165,518465900
10/14/2019,22108,22156,21992,22098,22098,294669400
10/15/2019,22244,22399,22168,22365,22365,413132500
10/16/2019,22388,22514,22286,22428,22428,495250600
10/17/2019,22380,22663,22373,22376,22376,438017500
10/18/2019,22406,22450,22291,22322,22322,397160800
10/21/2019,22347,22501,22344,22478,22478,371778600
10/22/2019,22504,22525,22361,22487,22487,343207300
10/23/2019,22377,22441,22284,22351,22351,376068700
10/24/2019,22446,22548,22397,22527,22527,406303700
10/25/2019,22554,22609,22466,22609,22609,246328600
10/28/2019,22597,22749,22529,22696,22696,272005000
10/29/2019,22703,22748,22615,22681,22681,327253200
10/30/2019,22700,22782,22454,22646,22646,440251100
10/31/2019,22659,22783,22584,22694,22694,435498500
11/1/2019,22735,22946,22721,22934,22934,289466200
11/4/2019,23041,23349,23027,23311,23311,437875800
11/5/2019,23346,23436,23295,23365,23365,486391800
11/6/2019,23375,23415,23309,23373,23373,438771400
11/7/2019,23487,23585,23445,23503,23503,499285200
11/8/2019,23478,23562,23354,23534,23534,596251800
11/11/2019,23454,23516,23396,23490,23490,369318400
11/12/2019,23555,23828,23548,23782,23782,436422200
11/13/2019,23696,23727,23436,23578,23578,399806100
11/14/2019,23576,23641,23480,23481,23481,378029000
11/15/2019,23600,23632,23463,23589,23589,337912500
11/18/2019,23572,23615,23350,23464,23464,374167800
11/19/2019,23520,23660,23303,23329,23329,374663800
11/20/2019,23221,23384,23150,23352,23352,419633500
11/21/2019,23195,23372,23105,23280,23280,477095700
11/22/2019,23325,23462,23255,23260,23260,372915500
11/25/2019,23398,23497,23384,23455,23455,297104600
11/26/2019,23476,23570,23359,23547,23547,473714000
11/27/2019,23624,23651,23452,23485,23485,332169700
11/28/2019,23401,23481,23270,23342,23342,237624600
11/29/2019,23268,23425,23207,23259,23259,265983000
12/2/2019,23298,23403,22698,22729,22729,452945300
12/3/2019,22845,22987,22581,22737,22737,367761300
12/4/2019,22737,23036,22733,23034,23034,324496600
12/5/2019,23049,23191,22946,22969,22969,298652300
12/6/2019,23055,23220,22940,23183,23183,294138000
12/9/2019,23215,23233,22856,22957,22957,302722800
12/10/2019,22936,23141,22790,23123,23123,298165100
12/11/2019,23101,23203,23038,23156,23156,283415000
12/12/2019,23229,23488,23161,23391,23391,413347000
12/13/2019,23714,23728,23272,23329,23329,478941300
12/16/2019,23436,23550,23388,23525,23525,276509700
12/17/2019,23536,23717,23482,23631,23631,343983200
12/18/2019,23646,23738,23627,23629,23629,311229600
12/19/2019,23647,23710,23583,23709,23709,374666200
12/20/2019,23842,24004,23837,24004,24004,793556100
12/23/2019,23919,23941,23845,23898,23898,229767000
12/27/2019,23868,23899,23732,23758,23758,274188700
12/30/2019,23712,23736,23506,23506,23506,212207400
1/2/2020,23607,23862,23572,23836,23836,264537200
1/3/2020,23710,23760,23517,23702,23702,325924900
1/6/2020,23566,23608,23265,23581,23581,349155800
1/7/2020,23688,23794,23636,23723,23723,306340300
1/8/2020,23551,23893,23481,23832,23832,472506700
1/9/2020,23980,24078,23964,24017,24017,430637300
1/10/2020,24061,24147,23966,24021,24021,326014300
1/13/2020,24061,24061,23829,23897,23897,340838600
1/14/2020,23932,23948,23706,23928,23928,350706400
1/15/2020,23903,23932,23719,23764,23764,341178900
1/16/2020,23862,23961,23760,23940,23940,361875400
1/17/2020,24043,24169,24011,24141,24141,319934800
1/20/2020,24033,24085,23973,24002,24002,218203400
1/21/2020,23858,23860,23645,23845,23845,332896600
1/22/2020,23888,23907,23680,23706,23706,424389000
1/23/2020,23716,23901,23611,23707,23707,379431100
1/24/2020,23848,24083,23848,23969,23969,368587000
1/27/2020,23713,23978,23384,23416,23416,506925600
1/28/2020,23545,24028,23429,24028,24028,428294600
1/29/2020,24053,24198,23969,24165,24165,356515300
1/30/2020,23892,23983,23688,23781,23781,454729400
1/31/2020,23863,23873,23208,23237,23237,557656600
2/3/2020,23297,23466,23219,23460,23460,363184200
2/4/2020,23573,23901,23542,23845,23845,479889400
2/5/2020,23816,24270,23746,24237,24237,564241000
2/6/2020,24348,24514,24338,24490,24490,531888100
2/7/2020,24465,24523,24372,24478,24478,411437000
2/10/2020,24437,24585,24389,24508,24508,297204400
2/11/2020,24617,24763,24534,24689,24689,405685400
2/12/2020,24738,24902,24735,24861,24861,462480100
2/13/2020,24769,24892,24588,24892,24892,526068000
2/14/2020,24942,24983,24832,24867,24867,341383900
2/17/2020,24962,25121,24903,25121,25121,0
2/18/2020,24986,25389,24970,25224,25224,737036300
2/19/2020,25353,25483,25272,25478,25478,464703000
2/20/2020,25415,25420,25080,25080,25080,445153900
2/21/2020,24979,25130,24670,24773,24773,638705500
2/24/2020,23919,24005,23255,23427,23427,977128300
2/25/2020,23586,23630,23046,23090,23090,664950800
2/26/2020,22961,23600,22638,23423,23423,737757000
2/27/2020,22969,23078,22480,22799,22799,781145900
2/28/2020,22059,22335,21698,21984,21984,1052025600
3/2/2020,22333,22361,21119,21655,21655,924414500
3/3/2020,22116,22340,21651,21748,21748,799970700
3/4/2020,21740,22204,21500,21946,21946,724365300
3/5/2020,22012,22035,21362,21555,21555,772854700
3/6/2020,20987,21151,20624,20800,20800,864917500
3/9/2020,20781,20781,18346,18476,18476,1272046600
3/10/2020,18654,19175,17772,17870,17870,1096966400
3/11/2020,18172,18410,17675,17929,17929,916163300
3/12/2020,17654,17660,14894,14894,14894,1535614400
3/13/2020,15108,17545,15107,15954,15954,1267823900
3/16/2020,15697,15699,14153,14980,14980,1218842000
3/17/2020,15420,15810,14696,15315,15315,1041111800
3/18/2020,14986,15438,14792,15120,15120,796190300
3/19/2020,15417,15844,15038,15467,15467,1016984600
3/20/2020,15773,16180,15617,15732,15732,1222210600
3/23/2020,15318,15789,15092,15560,15560,768024600
3/24/2020,15978,16949,15970,16949,16949,847366000
3/25/2020,17247,17830,16582,17244,17244,906278800
3/26/2020,16877,17369,16835,17369,17369,712229600
3/27/2020,17039,17283,16667,16823,16823,590902100
3/30/2020,16856,16925,16313,16872,16872,551307000
3/31/2020,17097,17292,16695,17051,17051,698055400
4/1/2020,16600,16845,16500,16545,16545,515027400
4/2/2020,16660,16878,16414,16834,16834,580523400
4/3/2020,16742,16791,16384,16384,16384,547565400
4/6/2020,16769,17054,16765,17039,17039,528126600
4/7/2020,17588,17887,17178,17412,17412,679854300
4/8/2020,17212,17406,17196,17381,17381,476312900
4/9/2020,17686,17756,17360,17622,17622,553979400
4/14/2020,17822,17831,17507,17558,17558,443873000
4/15/2020,17455,17543,16719,16719,16719,536650700
4/16/2020,17003,17161,16730,16768,16768,453153600
4/17/2020,17153,17308,16964,17055,17055,469218300
4/20/2020,17144,17155,16786,17064,17064,339570700
4/21/2020,16812,16935,16451,16451,16451,401986500
4/22/2020,16615,16770,16555,16765,16765,347495900
4/23/2020,16925,17145,16778,17011,17011,392978300
4/24/2020,16640,17155,16640,16859,16859,349284500
4/27/2020,17313,17380,17164,17380,17380,307768100
4/28/2020,17428,17941,17413,17677,17677,496793100
4/29/2020,17616,18076,17609,18067,18067,477978500
4/30/2020,18209,18303,17655,17690,17690,597318500
5/4/2020,17157,17345,17036,17036,17036,430626400
5/5/2020,17289,17390,17082,17387,17387,413815000
5/6/2020,17368,17500,17146,17159,17159,330052900
5/7/2020,17256,17363,17094,17245,17245,360975400
5/8/2020,17416,17462,17254,17439,17439,242317800
5/11/2020,17602,17678,17307,17381,17381,279808500
5/12/2020,17394,17602,17394,17559,17559,323340100
5/13/2020,17354,17427,17183,17183,17183,370538600
5/14/2020,17066,17177,16551,16868,16868,435987200
5/15/2020,17055,17124,16792,16852,16852,350474400
5/18/2020,16998,17446,16953,17401,17401,409926900
5/19/2020,17579,17613,16929,17035,17035,837116200
5/20/2020,16990,17248,16674,17213,17213,802296700
5/21/2020,16987,17284,16950,17087,17087,468260800
5/22/2020,16905,17386,16820,17316,17316,488722400
5/25/2020,17451,17596,17304,17596,17596,275240000
5/26/2020,17796,17894,17697,17860,17860,565674900
5/27/2020,17861,18228,17737,17910,17910,796359100
5/28/2020,18081,18414,18046,18351,18351,616898400
5/29/2020,18193,18391,18149,18198,18198,731191700
6/1/2020,18437,18531,18237,18524,18524,459197200
6/2/2020,18676,19053,18569,18971,18971,612512800
6/3/2020,19204,19642,19171,19642,19642,828030700
6/4/2020,19520,19849,19391,19634,19634,814390200
6/5/2020,19904,20198,19869,20188,20188,925086600
6/8/2020,20133,20399,20050,20231,20231,773230400
6/9/2020,20243,20274,19678,19930,19930,779956200
6/10/2020,20096,20181,19694,19758,19758,703770700
6/11/2020,19222,19353,18807,18807,18807,789867400
6/12/2020,18573,19169,18553,18888,18888,610202600
6/15/2020,18303,19065,18303,18969,18969,483442500
6/16/2020,19383,19874,19297,19626,19626,786184600
6/17/2020,19670,19876,19487,19586,19586,575170300
6/18/2020,19562,19815,19332,19486,19486,495706400
6/19/2020,19601,19741,19572,19619,19619,934839800
6/22/2020,19402,19685,19311,19479,19479,421857500
6/23/2020,19626,19885,19551,19842,19842,523455200
6/24/2020,19778,19907,19163,19163,19163,511785200
6/25/2020,19101,19319,18878,19235,19235,491616700
6/26/2020,19442,19549,19124,19124,19124,366134900
6/29/2020,19159,19541,19113,19447,19447,358186700
6/30/2020,19517,19540,19223,19376,19376,414866900
7/1/2020,19452,19455,19013,19331,19331,361833800
7/2/2020,19531,19975,19482,19887,19887,495115800
7/3/2020,19941,19969,19632,19727,19727,289547200
7/6/2020,20121,20223,19928,20032,20032,443634500
7/7/2020,19938,20066,19845,20013,20013,352024500
7/8/2020,19914,20101,19848,19900,19900,327081800
7/9/2020,19993,20008,19502,19506,19506,324855600
7/10/2020,19395,19770,19395,19768,19768,299117400
7/13/2020,20063,20067,19735,20003,20003,449146200
7/14/2020,19799,19900,19677,19880,19880,425475000
7/15/2020,20046,20361,19982,20281,20281,507289700
7/16/2020,20207,20389,20179,20356,20356,483034300
7/17/2020,20414,20427,20264,20419,20419,399015800
7/20/2020,20327,20679,20217,20621,20621,448609300
7/21/2020,20899,21133,20703,20723,20723,642358800
7/22/2020,20689,20797,20509,20599,20599,400283900
7/23/2020,20664,20689,20363,20454,20454,372189300
7/24/2020,20155,20241,19960,20075,20075,378518300
7/27/2020,20034,20163,19914,20020,20020,358176700
7/28/2020,20022,20120,19698,19903,19903,335491900
7/29/2020,19895,19973,19719,19881,19881,359277100
7/30/2020,19926,19976,19116,19228,19228,545919800
7/31/2020,19342,19532,19086,19092,19092,454759400
8/3/2020,19137,19402,18949,19380,19380,411205200
8/4/2020,19532,19658,19377,19614,19614,566864900
8/5/2020,19766,19896,19642,19740,19740,544154400
8/6/2020,19702,19834,19353,19475,19475,642423100
8/7/2020,19429,19564,19251,19516,19516,349794600
8/10/2020,19570,19668,19454,19652,19652,251844900
8/11/2020,19850,20294,19850,20209,20209,486632200
8/12/2020,20172,20463,20151,20437,20437,372877300
8/13/2020,20383,20472,20257,20257,20257,314363800
8/14/2020,20159,20185,19821,20028,20028,296289800
8/17/2020,20101,20123,19853,19950,19950,246143300
8/18/2020,19845,20159,19723,19846,19846,255470500
8/19/2020,19833,20055,19734,20055,20055,221316800
8/20/2020,19827,19921,19719,19767,19767,264922400
8/21/2020,19846,19868,19480,19695,19695,300533200
8/24/2020,19908,20130,19887,20113,20113,304828800
8/25/2020,20256,20368,20030,20030,20030,327848800
8/26/2020,19971,20137,19928,20137,20137,336048100
8/27/2020,20131,20133,19847,19847,19847,479171100
8/28/2020,19953,19992,19687,19841,19841,475736200
8/31/2020,19972,20081,19616,19634,19634,411640300
9/1/2020,19776,19871,19435,19595,19595,429280800
9/2/2020,19713,20036,19672,19858,19858,375861100
9/3/2020,20009,20141,19462,19551,19551,460398600
9/4/2020,19466,19781,19255,19391,19391,470672600
