Date,Stock_Price,Country,Stock Index
2019-01-01,91012.0,Brazil,BOVESPA
2019-01-02,91012.0,Brazil,BOVESPA
2019-01-03,91564.0,Brazil,BOVESPA
2019-01-04,91841.0,Brazil,BOVESPA
2019-01-05,91841.0,Brazil,BOVESPA
2019-01-06,91841.0,Brazil,BOVESPA
2019-01-07,91699.0,Brazil,BOVESPA
2019-01-08,92032.0,Brazil,BOVESPA
2019-01-09,93613.0,Brazil,BOVESPA
2019-01-10,93806.0,Brazil,BOVESPA
2019-01-11,93658.0,Brazil,BOVESPA
2019-01-12,93658.0,Brazil,BOVESPA
2019-01-13,93658.0,Brazil,BOVESPA
2019-01-14,94474.0,Brazil,BOVESPA
2019-01-15,94056.0,Brazil,BOVESPA
2019-01-16,94393.0,Brazil,BOVESPA
2019-01-17,95351.0,Brazil,BOVESPA
2019-01-18,96097.0,Brazil,BOVESPA
2019-01-19,96097.0,Brazil,BOVESPA
2019-01-20,96097.0,Brazil,BOVESPA
2019-01-21,96010.0,Brazil,BOVESPA
2019-01-22,95103.0,Brazil,BOVESPA
2019-01-23,96558.0,Brazil,BOVESPA
2019-01-24,97677.0,Brazil,BOVESPA
2019-01-25,97677.0,Brazil,BOVESPA
2019-01-26,97677.0,Brazil,BOVESPA
2019-01-27,97677.0,Brazil,BOVESPA
2019-01-28,95444.0,Brazil,BOVESPA
2019-01-29,95639.0,Brazil,BOVESPA
2019-01-30,96996.0,Brazil,BOVESPA
2019-01-31,97394.0,Brazil,BOVESPA
2019-02-01,97861.0,Brazil,BOVESPA
2019-02-02,97861.0,Brazil,BOVESPA
2019-02-03,97861.0,Brazil,BOVESPA
2019-02-04,98589.0,Brazil,BOVESPA
2019-02-05,98311.0,Brazil,BOVESPA
2019-02-06,94636.0,Brazil,BOVESPA
2019-02-07,94406.0,Brazil,BOVESPA
2019-02-08,95343.0,Brazil,BOVESPA
2019-02-09,95343.0,Brazil,BOVESPA
2019-02-10,95343.0,Brazil,BOVESPA
2019-02-11,94413.0,Brazil,BOVESPA
2019-02-12,96168.0,Brazil,BOVESPA
2019-02-13,95842.0,Brazil,BOVESPA
2019-02-14,98015.0,Brazil,BOVESPA
2019-02-15,97526.0,Brazil,BOVESPA
2019-02-16,97526.0,Brazil,BOVESPA
2019-02-17,97526.0,Brazil,BOVESPA
2019-02-18,96510.0,Brazil,BOVESPA
2019-02-19,97659.0,Brazil,BOVESPA
2019-02-20,96545.0,Brazil,BOVESPA
2019-02-21,96932.0,Brazil,BOVESPA
2019-02-22,97886.0,Brazil,BOVESPA
2019-02-23,97886.0,Brazil,BOVESPA
2019-02-24,97886.0,Brazil,BOVESPA
