Date,Open Price,Close Price,High Price,Low Price,Volume
02-Jan-2019,6728.13,6734.23,6753.29,6599.48,578254784
03-Jan-2019,6734.23,6692.66,6753.14,6685.09,603675008
04-Jan-2019,6692.66,6837.42,6850.37,6692.50,652632256
07-Jan-2019,6837.42,6810.88,6874.11,6778.01,672013888
08-Jan-2019,6810.88,6861.60,6901.48,6804.89,650274816
09-Jan-2019,6861.60,6906.63,6938.31,6861.60,826512896
10-Jan-2019,6906.63,6942.87,6948.18,6860.82,607057728
11-Jan-2019,6942.87,6918.18,7001.94,6902.65,615921408
14-Jan-2019,6918.18,6855.02,6918.21,6841.74,646323776
15-Jan-2019,6855.02,6895.02,6910.45,6849.63,666785088
16-Jan-2019,6895.02,6862.68,6912.44,6848.57,795668032
17-Jan-2019,6862.68,6834.92,6862.68,6799.03,551969344
18-Jan-2019,6834.92,6968.33,6984.36,6834.92,799137280
21-Jan-2019,6968.33,6970.59,6987.93,6954.52,468904416
22-Jan-2019,6970.59,6901.39,6970.59,6880.69,553278784
23-Jan-2019,6901.39,6842.88,6901.63,6834.30,597333760
24-Jan-2019,6842.88,6818.95,6854.59,6802.03,613233216
25-Jan-2019,6818.95,6809.22,6858.19,6806.77,742988416
28-Jan-2019,6809.22,6747.10,6812.53,6734.00,652650304
29-Jan-2019,6747.10,6833.93,6860.34,6747.10,681304576
30-Jan-2019,6833.93,6941.63,6967.70,6833.93,749807424
31-Jan-2019,6941.63,6968.85,6994.88,6941.09,843180096
01-Feb-2019,6968.85,7020.22,7024.45,6968.85,623878848
04-Feb-2019,7020.22,7034.13,7046.58,7002.42,594846592
05-Feb-2019,7034.13,7177.37,7180.71,7033.57,657097408
06-Feb-2019,7177.37,7173.09,7184.22,7146.65,596989696
07-Feb-2019,7173.09,7093.58,7187.51,7093.58,634485888
08-Feb-2019,7093.58,7071.18,7115.83,7064.90,540272512
11-Feb-2019,7071.18,7129.11,7149.23,7071.18,552953920
12-Feb-2019,7129.11,7133.14,7168.61,7121.72,525117536
13-Feb-2019,7133.14,7190.84,7205.07,7133.14,560979712
14-Feb-2019,7190.84,7197.01,7232.83,7183.01,528929408
15-Feb-2019,7197.01,7236.68,7261.63,7185.23,701892864
18-Feb-2019,7236.68,7219.47,7242.09,7209.70,423851744
19-Feb-2019,7219.47,7179.17,7219.53,7162.80,601313856
20-Feb-2019,7179.17,7228.62,7234.16,7177.95,875194560
21-Feb-2019,7228.62,7167.39,7228.78,7141.85,789115008
22-Feb-2019,7167.39,7178.60,7220.52,7162.37,638571968
25-Feb-2019,7178.60,7183.74,7210.70,7158.19,660635264
26-Feb-2019,7183.74,7151.12,7183.79,7091.59,823785472
27-Feb-2019,7151.12,7107.20,7151.12,7082.62,869206208
28-Feb-2019,7107.20,7074.73,7107.20,7041.03,956793280
01-Mar-2019,7074.73,7106.73,7129.72,7074.73,701387776
04-Mar-2019,7106.73,7134.39,7166.19,7106.73,608959296
